Usuario,PRs_Criadas,PRs_Aceitas,PRs_Revisadas,Issues_Identificadas,Issues_Aceitas,1.3_Produtividade_PRs_Percentual,1.4_PRs_Revisadas_Count,1.5_Taxa_Aceitacao_Issues_Percentual,Issues_Fechadas,Taxa_Conclusao_Issues_Percentual
Tais0357,2,1,0,0,0,50.0,0,0.0,0,0.0
Tatiana0357,2,1,0,0,0,50.0,0,0.0,0,0.0
Eufrausino,1,1,2,1,0,100.0,2,0.0,0,0.0
ProjetoIntegradorUFV2025,0,0,0,0,0,0.0,0,0.0,0,0.0
GuilhermeGC05,1,0,0,0,0,0.0,0,0.0,0,0.0
gabriel2036,5,4,14,0,0,80.0,14,0.0,0,0.0
Gabriwll,2,0,0,0,0,0.0,0,0.0,0,0.0
ingridlrs,1,0,0,0,0,0.0,0,0.0,0,0.0
cristinaleticia,0,0,0,0,0,0.0,0,0.0,0,0.0
caioomenezes,0,0,0,0,0,0.0,0,0.0,0,0.0
amandacmelo,0,0,0,0,0,0.0,0,0.0,0,0.0
francyelleserrano,2,0,0,0,0,0.0,0,0.0,0,0.0
DalmoRainer,2,0,0,0,0,0.0,0,0.0,0,0.0
RayannePapini,2,0,0,0,0,0.0,0,0.0,0,0.0
DaniiMelo,3,0,0,0,0,0.0,0,0.0,0,0.0
melissaalanis,0,0,0,0,0,0.0,0,0.0,0,0.0
GuilhermePianetti,4,3,0,0,0,75.0,0,0.0,0,0.0
Analucia26,1,1,2,0,0,100.0,2,0.0,0,0.0
