Usuario,PRs_Criadas,PRs_Aceitas,PRs_Revisadas,Issues_Identificadas,Issues_Aceitas,1.3_Produtividade_PRs_Percentual,1.4_PRs_Revisadas_Count,1.5_Taxa_Aceitacao_Issues_Percentual,Issues_Fechadas,Taxa_Conclusao_Issues_Percentual
melissaalanis,0,0,0,0,0,0.0,0,0.0,0,0.0
RayannePapini,0,0,0,0,0,0.0,0,0.0,0,0.0
Tais0357,0,0,0,0,0,0.0,0,0.0,0,0.0
Gabriwll,0,0,0,0,0,0.0,0,0.0,0,0.0
DaniiMelo,0,0,0,0,0,0.0,0,0.0,0,0.0
GuilhermePianetti,0,0,0,0,0,0.0,0,0.0,0,0.0
cristinaleticia,0,0,0,0,0,0.0,0,0.0,0,0.0
ProjetoIntegradorUFV2025,0,0,0,0,0,0.0,0,0.0,0,0.0
Tatiana0357,0,0,0,0,0,0.0,0,0.0,0,0.0
Eufrausino,2,2,1,0,0,100.0,1,0.0,0,0.0
DalmoRainer,0,0,0,0,0,0.0,0,0.0,0,0.0
gabriel2036,0,0,0,0,0,0.0,0,0.0,0,0.0
caioomenezes,1,1,0,0,0,100.0,0,0.0,0,0.0
Analucia26,1,1,1,0,0,100.0,1,0.0,0,0.0
amandacmelo,0,0,0,1,1,0.0,0,100.0,1,100.0
