Usuario,PRs_Criadas,PRs_Aceitas,PRs_Revisadas,Issues_Identificadas,Issues_Aceitas,1.3_Produtividade_PRs_Percentual,1.4_PRs_Revisadas_Count,1.5_Taxa_Aceitacao_Issues_Percentual,Issues_Fechadas,Taxa_Conclusao_Issues_Percentual
GuilhermeGC05,1,0,0,0,0,0.0,0,0.0,0,0.0
francyelleserrano,2,0,0,0,0,0.0,0,0.0,0,0.0
gabriel2036,1,1,0,0,0,100.0,0,0.0,0,0.0
RayannePapini,2,1,0,0,0,50.0,0,0.0,0,0.0
ProjetoIntegradorUFV2025,0,0,0,0,0,0.0,0,0.0,0,0.0
Tatiana0357,2,0,0,0,0,0.0,0,0.0,0,0.0
GuilhermePianetti,4,4,0,0,0,100.0,14,0.0,0,0.0
caioomenezes,2,2,0,0,0,100.0,0,0.0,0,0.0
DaniiMelo,2,0,0,0,0,0.0,0,0.0,0,0.0
Analucia26,2,2,3,0,0,100.0,3,0.0,0,0.0
Gabriwll,2,0,0,0,0,0.0,0,0.0,0,0.0
Eufrausino,1,1,3,1,1,100.0,3,100.0,1,100.0
cristinaleticia,0,0,0,0,0,0.0,0,0.0,0,0.0
Tais0357,2,1,0,0,0,50.0,0,0.0,0,0.0
melissaalanis,0,0,0,0,0,0.0,0,0.0,0,0.0
DalmoRainer,1,0,0,0,0,0.0,0,0.0,0,0.0
ingridlrs,1,0,0,0,0,0.0,0,0.0,0,0.0
amandacmelo,0,0,0,0,0,0.0,0,0.0,0,0.0
